Domain,SubDomain,Capability,Component,Product ID
Security,Data Protection,Data Usage Monitoring,3rd Party DLP,ICTO-11221
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-4950
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-25463
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-17719
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-4638
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-30568
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-31588
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-23847
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-12485
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-24583
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-46
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-30924
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-400
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-17720
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-12143
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-18845
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-14499
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-20409
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-14987
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-17718
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-25693
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-17464
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Approval,ICTO-4647
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-25463
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-17719
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-4638
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-30568
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-29968
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-23847
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-12485
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-24583
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-46
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-27160
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-30924
Security,Identity & Access Management,Access Management and Governance (Workforce),Access Certification,ICTO-17720
